"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"303","SWE","APP",11,"SWE_APP_11_B2",519,144,0.366058906346443,933,647,671,933,0.3756,-0.830996571041397,434.693266361111,0.860714455714598,1.06959226423239,9
"304","SWE","APP",11,"SWE_APP_11_B3",1277,9,0.914384153603574,1572,630,973,1572,0.3756,-0.830996571041397,434.693266361111,0.860714455714598,1.06959226423239,9
"305","SWE","APP",13,"SWE_APP_13_B1",1168,100,0.896787125287387,1574,642,1140,1574,0.4527,-0.474775609122965,356.908941187329,0.803894145372975,1.02161091422428,11
"306","SWE","APP",13,"SWE_APP_13_B2",424,55,0.371563556432483,870,600,704,870,0.4527,-0.474775609122965,356.908941187329,0.803894145372975,1.02161091422428,11
"307","SWE","APP",13,"SWE_APP_13_B3",1155,71,0.777482282148789,1323,608,904,1323,0.4527,-0.474775609122965,356.908941187329,0.803894145372975,1.02161091422428,11
"308","SWE","APP",14,"SWE_APP_14_B1",604,1,0.59872945953864,1121,616,1086,1121,0.0739,-2.22492477092195,0.47369053821613,-1.05065181857133,2.43519999419292,6
"309","SWE","APP",14,"SWE_APP_14_B2",460,58,0.335811661897203,908,649,838,908,0.0739,-2.22492477092195,0.47369053821613,-1.05065181857133,2.43519999419292,6
"310","SWE","APP",14,"SWE_APP_14_B3",2100,74,1.13218858420171,1908,615,1693,1908,0.0739,-2.22492477092195,0.47369053821613,-1.05065181857133,2.43519999419292,6
"311","SWE","APP",15,"SWE_APP_15_B1",455,36,0.470419516130499,962,601,962,NA,0.7587,0.93901964829649,26546.8447532182,2.04601149158027,1.02002654716799,17
"312","SWE","APP",15,"SWE_APP_15_B2",334,0,0.0167789171291093,601,591,601,NA,0.7587,0.93901964829649,26546.8447532182,2.04601149158027,1.02002654716799,17
"313","SWE","APP",15,"SWE_APP_15_B3",502,110,0.318453731118535,880,640,880,NA,0.7587,0.93901964829649,26546.8447532182,2.04601149158027,1.02002654716799,17
"314","SWE","APP",16,"SWE_APP_16_B1",280,23,0.268554670187638,794,607,794,NA,0.2764,-1.2893249682179,87364.6390102827,2.38938882615078,1.00212380041207,10
"315","SWE","APP",16,"SWE_APP_16_B2",280,4,0,637,637,577,NA,0.2764,-1.2893249682179,87364.6390102827,2.38938882615078,1.00212380041207,10
"316","SWE","APP",16,"SWE_APP_16_B3",291,33,0.243103029053813,797,625,797,NA,0.2764,-1.2893249682179,87364.6390102827,2.38938882615078,1.00212380041207,10
